Source,Target,Type,Id,Label,timeset,Weight,,,Id,Label
Politico,Washington Post,Directed,269,,,4,,,,
Politico,Huffington Post,Directed,270,,,2,,,,
Politico,propublica.org,Directed,271,,,2,,,,
Politico,Mother Jones,Directed,272,,,2,,,,
Politico,sfchronicle.com,Directed,273,,,2,,,,
Politico,factfinder.census.gov,Directed,274,,,1,,,,
Politico,Pew Research,Directed,275,,,1,,,,
Politico,NPR,Directed,276,,,1,,,,
Politico,brookings.edu,Directed,277,,,1,,,,
Politico,The Sacramento Bee,Directed,278,,,1,,,,
Twitter,18364,Directed,279,,,22,,,,
Twitter,census.gov,Directed,280,,,16,,,,
Twitter,New York Times,Directed,281,,,7,,,,
Twitter,Mother Jones,Directed,282,,,7,,,,
Twitter,NPR,Directed,283,,,5,,,,
Twitter,CNN,Directed,284,,,4,,,,
Twitter,wnymedia.net,Directed,285,,,4,,,,
Twitter,Breitbart,Directed,286,,,3,,,,
Twitter,commerce.gov,Directed,287,,,3,,,,
Twitter,Texas Tribune,Directed,288,,,3,,,,
Twitter,Washington Post,Directed,289,,,2,,,,
Twitter,propublica.org,Directed,290,,,2,,,,
Twitter,The Atlantic,Directed,291,,,2,,,,
Twitter,sfchronicle.com,Directed,292,,,2,,,,
Twitter,The Sacramento Bee,Directed,293,,,2,,,,
Twitter,Washington Times,Directed,294,,,2,,,,
Twitter,democraticredistricting.com,Directed,295,,,2,,,,
Twitter,documentcloud.org,Directed,296,,,1,,,,
Twitter,Huffington Post,Directed,297,,,1,,,,
Twitter,cis.org,Directed,298,,,1,,,,
Twitter,YouTube,Directed,299,,,1,,,,
Twitter,NBC News,Directed,300,,,1,,,,
Twitter,Wall Street Journal,Directed,301,,,1,,,,
Twitter,The Sacramento Bee,Directed,302,,,1,,,,
18364,Twitter,Directed,303,,,38,,,,
18364,census.gov,Directed,304,,,13,,,,
18364,New York Times,Directed,305,,,7,,,,
18364,NPR,Directed,306,,,6,,,,
18364,The Atlantic,Directed,307,,,4,,,,
18364,Washington Post,Directed,308,,,2,,,,
18364,Politico,Directed,309,,,2,,,,
18364,sfchronicle.com,Directed,310,,,2,,,,
18364,NBC News,Directed,311,,,2,,,,
18364,Texas Tribune,Directed,312,,,2,,,,
18364,democraticredistricting.com,Directed,313,,,2,,,,
18364,Pew Research,Directed,314,,,1,,,,
18364,documentcloud.org,Directed,315,,,1,,,,
18364,CNN,Directed,316,,,1,,,,
18364,Huffington Post,Directed,317,,,1,,,,
